protein_id,experiment_name,time_stamp,n_chainbreaks,non_loop_fraction,non_loop_cutoff,radius_of_gyration,status,rejection_reason,error_reason
shl010027,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:52:42+00:00,0,0.6666666667,0.7,20.81954044,REJECTED,loopy_structure,
shl010306,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:53:01+00:00,0,0.6666666667,0.7,21.75311515,REJECTED,loopy_structure,
shl010681,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:54:17+00:00,0,0.6666666667,0.7,20.13342548,REJECTED,loopy_structure,
shl010726,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:54:30+00:00,0,0.6666666667,0.7,20.8252231,REJECTED,loopy_structure,
shl010904,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:55:29+00:00,0,0.6666666667,0.7,20.04821196,REJECTED,loopy_structure,
shm009175,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:12+00:00,2,0.6666666667,0.7,21.6720916,REJECTED,chainbreaks;loopy_structure,
shm009285,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:22+00:00,0,0.6666666667,0.7,21.82419449,REJECTED,loopy_structure,
shm009316,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:25+00:00,0,0.6666666667,0.7,20.62267136,REJECTED,loopy_structure,
shm009488,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:56:48+00:00,0,0.6666666667,0.7,19.97316622,REJECTED,loopy_structure,
shm009842,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:57:59+00:00,0,0.6666666667,0.7,19.32103749,REJECTED,loopy_structure,
shm009867,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:58:05+00:00,0,0.6666666667,0.7,20.3154316,REJECTED,loopy_structure,
shs008143,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:58:45+00:00,0,0.6666666667,0.7,20.91011937,REJECTED,loopy_structure,
shs008425,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:59:06+00:00,0,0.6666666667,0.7,19.64857743,REJECTED,loopy_structure,
shs008697,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:59:46+00:00,0,0.6666666667,0.7,22.10553462,REJECTED,loopy_structure,
shs008717,15082026_16k_production_4_seeds_4_sizes,2026-08-18T08:59:50+00:00,0,0.6666666667,0.7,21.0343943,REJECTED,loopy_structure,
shs008913,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:00:32+00:00,0,0.6666666667,0.7,21.46467701,REJECTED,loopy_structure,
shs008972,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:00:46+00:00,0,0.6666666667,0.7,19.65482142,REJECTED,loopy_structure,
shx011009,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:00:54+00:00,0,0.6666666667,0.7,20.86559905,REJECTED,loopy_structure,
shx011190,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:01+00:00,2,0.6666666667,0.7,20.62821339,REJECTED,chainbreaks;loopy_structure,
shx011360,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:19+00:00,0,0.6666666667,0.7,21.32761597,REJECTED,loopy_structure,
shx011477,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:39+00:00,0,0.6666666667,0.7,20.69564551,REJECTED,loopy_structure,
shx011586,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:02+00:00,0,0.6666666667,0.7,20.69412362,REJECTED,loopy_structure,
shx011709,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:33+00:00,0,0.6666666667,0.7,20.81337485,REJECTED,loopy_structure,
shx011736,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:41+00:00,0,0.6666666667,0.7,21.91408662,REJECTED,loopy_structure,
shx011744,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:43+00:00,0,0.6666666667,0.7,20.21756292,REJECTED,loopy_structure,
shx011747,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:44+00:00,4,0.6666666667,0.7,20.65437299,REJECTED,chainbreaks;loopy_structure,
shx011775,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:02:52+00:00,0,0.6666666667,0.7,21.14095841,REJECTED,loopy_structure,
shx011828,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:03:09+00:00,0,0.6666666667,0.7,21.60881773,REJECTED,loopy_structure,
shx011839,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:03:12+00:00,0,0.6666666667,0.7,20.72141947,REJECTED,loopy_structure,
thl002114,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:22+00:00,0,0.6666666667,0.7,20.29688876,REJECTED,loopy_structure,
thl002157,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:24+00:00,0,0.6666666667,0.7,20.1719548,REJECTED,loopy_structure,
thl002197,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:27+00:00,0,0.6666666667,0.7,20.07963088,REJECTED,loopy_structure,
thl002248,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:31+00:00,0,0.6666666667,0.7,20.39532115,REJECTED,loopy_structure,
thl002362,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:02:42+00:00,0,0.6666666667,0.7,20.01646937,REJECTED,loopy_structure,
thl002661,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:03:35+00:00,0,0.6666666667,0.7,20.62667331,REJECTED,loopy_structure,
thl002854,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:04:26+00:00,0,0.6666666667,0.7,21.25011489,REJECTED,loopy_structure,
thl002882,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:04:34+00:00,0,0.6666666667,0.7,19.79050853,REJECTED,loopy_structure,
thm001364,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:33+00:00,0,0.6666666667,0.7,19.63345969,REJECTED,loopy_structure,
thm001400,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:37+00:00,0,0.6666666667,0.7,20.5610264,REJECTED,loopy_structure,
thm001482,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:05:48+00:00,0,0.6666666667,0.7,22.74283387,REJECTED,loopy_structure,
thm001811,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:06:53+00:00,0,0.6666666667,0.7,19.25688004,REJECTED,loopy_structure,
ths000008,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:46+00:00,0,0.6666666667,0.7,22.97968135,REJECTED,loopy_structure,
ths000023,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:46+00:00,0,0.6666666667,0.7,19.84715995,REJECTED,loopy_structure,
ths000027,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:46+00:00,0,0.6666666667,0.7,21.90937984,REJECTED,loopy_structure,
ths000078,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:46+00:00,0,0.6666666667,0.7,19.60039367,REJECTED,loopy_structure,
ths000216,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:07:52+00:00,0,0.6666666667,0.7,19.48926689,REJECTED,loopy_structure,
ths000589,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:08:32+00:00,0,0.6666666667,0.7,19.54075828,REJECTED,loopy_structure,
ths000664,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:08:44+00:00,0,0.6666666667,0.7,22.86431144,REJECTED,loopy_structure,
ths000738,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:08:58+00:00,0,0.6666666667,0.7,19.74820674,REJECTED,loopy_structure,
ths000757,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:02+00:00,0,0.6666666667,0.7,19.48025777,REJECTED,loopy_structure,
ths000844,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:20+00:00,0,0.6666666667,0.7,19.47023051,REJECTED,loopy_structure,
ths000941,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:43+00:00,0,0.6666666667,0.7,24.15858294,REJECTED,loopy_structure,
ths000989,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:09:55+00:00,0,0.6666666667,0.7,21.57323397,REJECTED,loopy_structure,
thx003125,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:02+00:00,0,0.6666666667,0.7,20.20937505,REJECTED,loopy_structure,
thx003596,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:11:10+00:00,0,0.6666666667,0.7,20.32526853,REJECTED,loopy_structure,
thx003704,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:11:38+00:00,2,0.6666666667,0.7,21.15255188,REJECTED,chainbreaks;loopy_structure,
thx003855,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:25+00:00,0,0.6666666667,0.7,20.24939977,REJECTED,loopy_structure,
thx003862,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:28+00:00,0,0.6666666667,0.7,19.75099209,REJECTED,loopy_structure,
thx003924,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:50+00:00,0,0.6666666667,0.7,21.10111195,REJECTED,loopy_structure,
thx003925,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:50+00:00,0,0.6666666667,0.7,20.72928106,REJECTED,loopy_structure,
thx003196,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:07+00:00,0,0.6681034483,0.7,21.09417173,REJECTED,loopy_structure,
shx011408,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:27+00:00,0,0.6681415929,0.7,20.49519549,REJECTED,loopy_structure,
shx011544,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:52+00:00,0,0.6682242991,0.7,21.49714931,REJECTED,loopy_structure,
thx003087,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:00+00:00,0,0.6682692308,0.7,20.49542494,REJECTED,loopy_structure,
thx003126,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:02+00:00,0,0.6682692308,0.7,20.90210605,REJECTED,loopy_structure,
thx003438,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:10:38+00:00,0,0.6683673469,0.7,20.00982361,REJECTED,loopy_structure,
thx003858,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:12:26+00:00,2,0.6684210526,0.7,21.02747576,REJECTED,chainbreaks;loopy_structure,
shx011475,15082026_16k_production_4_seeds_4_sizes,2026-08-18T09:01:38+00:00,0,0.6684782609,0.7,20.74677231,REJECTED,loopy_structure,
thl002844,15082026_16k_production_4_seeds_4_sizes,2026-08-16T19:04:23+00:00,0,0.6684782609,0.7,19.74095193,REJECTED,loopy_structure,
