protein_id,experiment
ths000585,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000587,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000598,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000603,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000626,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000630,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000648,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000678,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000679,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000706,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000766,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000767,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000772,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000784,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000802,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000809,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
ths000845,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000855,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
ths000892,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003093,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003287,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003294,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003320,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003328,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003358,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003426,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003457,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003476,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003613,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003721,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003796,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003815,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0
thx003842,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
thx003901,15082026_16k_production_4_seeds_4_sizes_20260817_pp_1p8_pc_2p2_cont_4p0_8p0
